,Flight Number,Launch Site,class,Payload Mass (kg),Booster Version,Booster Version Category
56,57,CCAFS LC-40,0,2697.0,F9 B4B1045.2336,B4
57,58,CCAFS LC-40,1,7075.0,F9 B5,B5
58,59,VAFB SLC-4E,1,9600.0,F9 B5349B1048[,B5
59,60,CCAFS LC-40,1,5800.0,F9 B5B1046.2354,B5
60,61,CCAFS LC-40,1,7060.0,F9 B5[,B5
61,62,VAFB SLC-4E,1,3000.0,F9 B5B1048.2364,B5
62,63,KSC LC-39A,1,5300.0,F9 B5B1047.2268,B5
63,64,VAFB SLC-4E,1,4000.0,F9 B5B1046.3268,B5
64,65,CCAFS LC-40,0,2500.0,F9 B5[,B5
65,66,CCAFS LC-40,0,4400.0,F9 B5[,B5
66,67,VAFB SLC-4E,1,9600.0,F9 B5B1049.2397,B5
67,68,CCAFS LC-40,1,4850.0,F9 B5B1048.3399,B5
68,69,KSC LC-39A,1,12055.0,F9 B5[]413,B5
69,70,CCAFS LC-40,1,2495.0,F9 B5[,B5
70,71,CCAFS LC-40,1,13620.0,F9 B5B1049.3434,B5
71,72,VAFB SLC-4E,1,4200.0,F9 B5B1051.2420,B5
72,73,CCAFS LC-40,1,2268.0,F9 B5B1056.2465,B5
73,74,CCAFS LC-40,0,6500.0,F9 B5B1047.3472,B5
74,75,CCAFS LC-40,1,15600.0,F9 B5,B5
75,76,CCAFS LC-40,1,2617.0,F9 B5[,B5
76,77,CCAFS LC-40,1,6956.0,F9 B5B1056.3482,B5
77,78,CCAFS LC-40,1,15600.0,F9 B5,B5
78,79,KSC LC-39A,0,12050.0,F9 B5,B5
79,80,CCAFS LC-40,1,15600.0,F9 B5,B5
80,81,CCAFS LC-40,0,15600.0,F9 B5,B5
81,82,CCAFS LC-40,1,1977.0,F9 B5,B5
82,83,KSC LC-39A,0,15600.0,F9 B5,B5
83,84,KSC LC-39A,1,15600.0,F9 B5,B5
84,85,KSC LC-39A,1,12530.0,F9 B5[,B5
85,86,CCAFS LC-40,1,15600.0,F9 B5,B5
86,87,CCAFS LC-40,1,15410.0,F9 B5,B5
87,88,CCAFS LC-40,1,4311.0,F9 B5,B5
88,89,CCAFS LC-40,1,5500.0,F9 B5B1058.2544,B5
89,90,KSC LC-39A,1,14932.0,F9 B5,B5
90,91,CCAFS LC-40,1,15440.0,F9 B5B1049.6544,B5
91,92,CCAFS LC-40,1,3130.0,F9 B5,B5
92,93,KSC LC-39A,1,15600.0,F9 B5B1060.2563,B5
93,94,KSC LC-39A,1,15600.0,F9 B5B1058.3565,B5
94,95,KSC LC-39A,1,15600.0,F9 B5B1051.6568,B5
95,96,CCAFS LC-40,1,15600.0,F9 B5,B5
96,97,CCAFS LC-40,1,4311.0,F9 B5,B5
97,98,KSC LC-39A,1,12500.0,F9 B5[,B5
98,99,VAFB SLC-4E,1,1192.0,F9 B5,B5
99,100,CCAFS LC-40,1,15600.0,F9 B5 ♺[,B5
100,101,KSC LC-39A,1,2972.0,F9 B5 ♺[,B5
101,102,CCSFS,1,7000.0,F9 B5 ♺,B5
102,103,KSC LC-39A,1,0.0,F9 B5 ♺,B5
103,104,CCSFS,1,3500.0,F9 B5,B5
104,105,KSC LC-39A,1,15600.0,F9 B5B1051.8609,B5
105,106,CCSFS,1,5000.0,F9 B5B1058.5613,B5
106,107,CCSFS,1,15600.0,F9 B5 ♺[,B5
107,108,CCSFS,0,15600.0,F9 B5 ♺,B5
108,109,KSC LC-39A,1,15600.0,F9 B5 ♺[,B5
109,110,CCSFS,1,15600.0,F9 B5 ♺[,B5
110,111,KSC LC-39A,1,15600.0,F9 B5 ♺,B5
111,112,CCSFS,1,15600.0,F9 B5B1060.6643,B5
112,113,CCSFS,1,15600.0,F9 B5 ♺,B5
113,114,KSC LC-39A,1,13000.0,F9 B5B1061.2647,B5
114,115,CCSFS,1,15600.0,F9 B5B1060.7652,B5
115,116,KSC LC-39A,1,15600.0,F9 B5B1049.9655,B5
116,117,CCSFS,1,15600.0,F9 B5B1051.10657,B5
117,118,KSC LC-39A,1,14000.0,F9 B5B1058.8660,B5
118,119,CCSFS,1,15600.0,F9 B5B1063.2665,B5
119,120,KSC LC-39A,1,3328.0,F9 B5B1067.1668,B5
120,121,CCSFS,1,7000.0,F9 B5,B5
